action,report,b_number,declared_sources,suggested_source,suggestion_score,suggestion_confidence,flags,rationale
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3271-About-Face-Appendix-A-Design-Principles-report.md",B3271,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/04-Appendix A Design Principles.md",0.500,high,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3272-About-Face-Appendix-B-Bibliography-report.md",B3272,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/05-Appendix B Bibliography.md",0.400,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3273-About-Face-titlepage-report.md",B3273,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/06-Titlepage.md",0.250,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3274-About-Face-copyright-report.md",B3274,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/07-Copyright.md",0.250,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3275-About-Face-credits-report.md",B3275,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/08-Credits.md",0.250,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3276-About-Face-dedication-report.md",B3276,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/09-Dedication.md",0.250,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3277-About-Face-about-the-authors-report.md",B3277,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/10-About the Authors.md",0.600,high,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3278-About-Face-acknowledgments-report.md",B3278,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/11-Acknowledgments.md",0.250,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3279-About-Face-foreword-report.md",B3279,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/12-Foreword.md",0.250,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3280-About-Face-introduction-fourth-edition-report.md",B3280,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/13-Introduction to the Fourth Edition.md",0.429,medium,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3281-About-Face-advertisement-mislabeled-research-fragment-report.md",B3281,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/14-Advertisement.md",0.143,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,"00-books-result/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/B3282-About-Face-eula-mixed-contents-report.md",B3282,,"00-books/Alan Cooper, Robert Reimann, David Cronin, Christopher Noessel：《About Face The Essentials of Interaction Design》/10-About the Authors.md",0.125,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3284-American-Art-Deco-introduction-report.md,B3284,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/02-INTRODUCTION.md,0.200,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
locate_source_then_reaudit,00-books-result/Alastair Duncan：《American Art Deco (1986)》，1986/B3285-American-Art-Deco-exhibitions-report.md,B3285,,00-books/Alastair Duncan：《American Art Deco (1986)》，1986/03-EXHIBITIONS.md,0.200,low,P0:no source path declared,报告未声明源文件路径；必须先补齐并核验源文，不能直接算可靠完成。
