priority,report,source,reasons
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0298-quilted-bodies-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0299-projecting-subverting-identities-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0300-courtly-cruising-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0302-performing-masculinity-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0304-Objects-Embodiment-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:知识要素表不是规范六列表头"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0304-objects-and-embodiment-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P2:知识要素含噪声词:section"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0305-archive-affect-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0306-kitsch-enchantment-power-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0311-irish-romanian-home-making-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0312-Meaningful-Lasting-User-Experiences-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:知识要素表不是规范六列表头"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0312-meaningful-lasting-experiences-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0315-Sex-Birth-Nurture-repeat-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0315-section-sex-birth-nurture-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0316-Performing-Masculinity-repeat-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0316-section-performing-masculinity-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0317-love-objects-full-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0318-Love-Objects-preface-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0318-ocr-preface-love-objects-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0319-Love-Objects-contents-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0319-ocr-toc-contents-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0320-Section-One-Lives-of-Objects-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
P0,"00-books-result/Love objects _ emotion, design, and material culture -- Anna Moran (Editor), Sor/B0320-section-lives-of-objects-report.md",,"P0:报告无法定位对应源文 | P2:低/中信息量报告结构过度缺省:source_check,document_nature,semantic_analysis,knowledge_elements,hierarchy,evidence,quote_boundary,technical_boundary,conclusion | P1:缺少知识要素节"
