priority,rewrite_type,report,source,source_chars,report_chars,original_action,entity_overlap,instruction
R1,大体量源文完整重写,00-books-result/Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14/B0365-Foreword-Pelican-Edition-report.md,00-books/Pioneers Of Modern Design -- Nikolaus Pevsner -- 79d1b31976f272a671ce2a3b7a2db14/05-Foreword to the Pelican Edition.md,87044,134,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0417-Courtly-Stylistic-Regime-report.md,00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/02-The Courtly Stylistic Regime.md,76866,153,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,00-books-result/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/B0421-Revolutionary-Transformation-report.md,00-books/Taste and Power _ Furnishing Modern France -- Leora Auslander -- University of C/06-Revolutionary Transformation.md,75125,159,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0741-Ethics-Aesthetics-Design-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/37-ETHICS, AESTHETICS, AND DESIGN.md",70641,88,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B0752-Sensing-a-Dwelling-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/09-Sensing a Dwelling.md",57465,87,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B0756-Sharing-Not-Buying-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/13-Sharing not Buying.md",46870,91,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0735-Fourth-Order-Design-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/28-FOURTH-ORDER DESIGN A PRACTICALPERSPECTIVE.md",46663,99,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0717-Scenario-for-Design-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/07-A SCENARIO FOR DESIGN.md",45216,89,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0721-Things-That-Matter-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/11-THE THINGS THAT MATTER.md",45183,81,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The green imperative _ natural design for the real world -- Papanek, Victor J --/B0750-Designing-Safer-Future-report.md","00-books/The green imperative _ natural design for the real world -- Papanek, Victor J --/07-Designing for a Safer Future.md",45072,95,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/Grand Designs Labor, Empire, and the Museum in Victorian Culture/B0278-Introduction-report.md","00-books/Grand Designs Labor, Empire, and the Museum in Victorian Culture/03-Introduction.md",43759,317,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0740-Ecological-Design-Critique-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/35-ECOLOGICAL DESIGN A NEW CRITIQUE.md",43030,99,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
R1,大体量源文完整重写,"00-books-result/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/B0733-Visibility-in-Progress-report.md","00-books/The designed world _ images, objects, environments -- Buchanan, Richard (editor)/26-VISIBILITY IN PROGRESS.md",38179,87,needs_v2_rewrite,,必须重新阅读全文或分段抽读，补齐源文核验、文献性质、语义分析、知识要素、证据边界和复审结论。
